market,lat,lon,region,d_act,Wd_act_centered,lisa,local_p,lisa_sig,conf
lon38_5721lat11_68,11.67964,38.56474,Amhara,-1.0999999999999943,-6.917060594163069,LL,0.954,ns,1.0
lon38_5881lat11_8172,11.81731,38.58819,Amhara,37.8,-8.250856890459367,HL,0.506,ns,1.0
lon38_5916lat12_3886,12.38779,38.59129,Amhara,-12.799999999999997,20.03664310954064,LH,0.616,ns,3.0
lon38_5937lat10_1951,10.19517,38.59387,Oromia,-49.4,7.496643109540633,LH,0.571,ns,2.0
lon38_5941lat14_2775,14.27782,38.59612,Tigray,64.39999999999999,49.36997644287397,HH,0.054,ns,0.0
lon38_5943lat14_1236,14.12146,38.59713,Tigray,114.10000000000001,32.59840781542299,HH,0.027,HH,0.0
lon38_5975lat10_5693,10.56935,38.59733,Amhara,13.099999999999994,9.430393109540635,HH,0.721,ns,0.0
lon38_6006lat7_2174,7.21723,38.59954,Oromia,65.4,-22.990279967382442,HL,0.182,ns,4.0
lon38_6113lat8_71,8.71013,38.61145,Oromia,-9.0,-11.348651008106424,LL,0.764,ns,0.0
lon38_6116lat10_6592,10.65917,38.61158,Amhara,-20.200000000000003,21.836643109540635,LH,0.427,ns,0.0
lon38_6135lat7_0483,7.04839,38.61354,SNNPR,-15.700000000000017,-10.863356890459364,LL,0.687,ns,8.0
lon38_614lat5_4859,5.48596,38.61394,Oromia,-61.7,-1.4466902237927033,LL,0.879,ns,0.0
lon38_61lat5_492,5.49207,38.60982,Oromia,-2.4000000000000057,-21.21335689045937,LL,0.926,ns,0.0
lon38_6216lat12_4803,12.482,38.62099,Amhara,199.2,14.528309776207305,HH,0.066,ns,3.0
lon38_6277lat9_9166,9.91663,38.62773,Oromia,-128.8,13.394976442873965,LH,0.164,ns,4.0
lon38_6302lat8_5295,8.52947,38.63014,Oromia,2.1999999999999886,-6.774468001570472,HL,0.948,ns,0.0
lon38_6341lat5_0996,5.09952,38.6341,Oromia,11.400000000000006,-15.913356890459367,HL,0.838,ns,0.0
lon38_6352lat12_3569,12.35704,38.63515,Amhara,126.6,17.09997644287397,HH,0.078,ns,3.0
